,Rent,House ID,Square meters house,Number of Bedrooms,Location,Description,rent_per_sqrmeter
737,480,2110340556,84,2,Ag. Meletiou - Viktorias Sq. - Marni (Athens)," 1/12/2020 - Within one-block distance from Victoria Sq., a fully renovated quiet and bright interior apartmen ...                        ",5.714285714
738,750,2110265942,83,2,Platia Attikis (Athens)," 21/12/2020 - Athens, Plateia Attikis, Apartment For Rent, 83 sq.m., Property Status: Amazing, Floor: 5th, 2 Be ...                        ",9.036144578
739,500,2110261111,55,1,Kipseli (Athens)," 10/12/2020 - Athens, Kypseli, Apartment For Rent, 55 sq.m., Property Status: Amazing, Floor: Ground floor, 1 L ...                        ",9.090909091
740,1000,2110103348,110,2,Koukaki - Pediki Chara (Koukaki - Makrygianni)," 23/12/2020 - Koukaki, whole-floor apartment 110 sq.m., on 4th floor, built in 1975, renovated and painted in 2 ...                        ",9.090909091
741,700,219944081,48,1,Sintagma (Athens)," 23/12/2020 - Athens, Center, Apartment For Rent, 48 sq.m., Property Status: Amazing, Floor: Ground floor, 1 Le ...                        ",14.58333333
742,900,219943540,120,1,Panormou (Athens)," 9/10/2020 - AMPELOKIPI (ATTICA - ATHENS CENTER), Panormou - Apartment 120sqm, fully furnished, 1 bedroom, 3rd ...                        ",7.5
743,8000,219738356,500,3,Thiseio (Athens)," 10/12/2020 - Athens, Thiseio, Detached house For Rent, 500 sq.m., Property Status: Amazing, Floor: Ground floo ...                        ",16
744,2500,217858588,260,2,Pedion Areos (Athens)," 10/12/2020 - Athens, Pedion Areos, Apartment For Rent, 260 sq.m., Property Status: Amazing, Floor: 5th, 1 Leve ...                        ",9.615384615
745,1850,2110526264,100,2,Kolonaki (Kolonaki - Lykavittos), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,18.5
746,1550,2110378509,100,2,Kolonaki (Kolonaki - Lykavittos), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,15.5
747,1400,2110294846,120,3,Kolonaki (Kolonaki - Lykavittos), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,11.66666667
748,550,219969062,75,1,Agios Sostis (Athens)," 21/12/2020 - Neos Kosmos, apartment of 75 sq.m., on the 2nd floor, constructed in 1970, renovated in 2008 in v ...                        ",7.333333333
749,550,2110489321,91,2,Pedion Areos (Athens)," 24/12/2020 - In a beautiful and privileged spot in the field of Areos, a first floor apartment is for rent. It ...                        ",6.043956044
750,900,2110385699,110,4,Neos Kosmos (Athens)," 4/12/2020 - Apartment for rent in Baknana, Neos Kosmos of Athens  Center for 900€ (Listing No 3575). Another  ...                        ",8.181818182
751,1200,2110269429,61,2,Ampelokipoi - Pentagon (Athens)," 2/10/2020 - Athens, Ampelokipoi, Apartment For Rent, 61 sq.m., Property Status: Amazing, Floor: 1rst, 2 Bedro ...                        ",19.67213115
752,1600,2110233795,180,3,Fokionos Negri (Athens)," 20/10/2020 - Athens, Kypseli-Fokionos Negri, Apartment For Rent, 180 sq.m., Floor: 1rst, 3 Bedrooms (1 Master) ...                        ",8.888888889
753,600,2110228330,140,3,Sepolia (Athens)," 9/12/2020 - Athens, Sepolia, Floor Apartment For Rent, 140 sq.m., Property Status: Good, Floor: 1rst, 3 Bedro ...                        ",4.285714286
754,800,219587710,80,2,Exarcheia (Athens)," 20/12/2020 - Apartment of 80 sq.m. in the area ""Exarchia - Neapoli, Exarchia"", on the 3rd floor with elevator, ...                        ",10
755,1800,218951554,180,3,Plaka (Athens)," 10/12/2020 - Athens, Plaka, Maisonette For Rent, 180 sq.m., Property Status: Amazing, Floor: 2nd, 2 Level(s),  ...                        ",10
756,4500,217237235,190,3,Kolonaki (Kolonaki - Lykavittos)," 16/12/2020 - Athens, Kolonaki: A luxurious renovated penthouse of 190 sq.m., on the 4th floor, with a private  ...                        ",23.68421053
757,350,2110577901,74,2,Kipseli (Athens)," 23/12/2020 - Athens, Kypseli, Apartment 74 sq.m. on 1st floor, is available for rent from January 1st, 2021, I ...                        ",4.72972973
758,1100,2110558787,85,2,Kallimarmaro (Athens)," 23/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,100 € /month     6 to 12 month lease: 1 ...                        ",12.94117647
759,700,2110525951,92,2,Hilton (Athens)," 22/12/2020 - Athens, Ilisia-Hilton, Apartment For Rent, 92 sq.m., Property Status: Refurbished, Floor: 2nd, 1  ...                        ",7.608695652
760,800,219059171,139,4,Akadimia (Athens)," 30/1/2020 - Property Code: 20665 -  FOR RENT  4 Bedrooms, on the facade Apartment of total surface 139 sq.m,  ...                        ",5.755395683
761,380,2110562724,67,2,Metaxourgeio (Athens)," 18/12/2020 - Athens, Metaxourgeio, Apartment For Rent, 67 sq.m., Property Status: Very Good, Floor: 6th, 2 Bed ...                        ",5.671641791
762,380,2110123305,67,2,Metaxourgeio (Athens)," 9/12/2020 - Athens, Metaxourgeio, Apartment For Rent, 67 sq.m., Property Status: Very Good, Floor: 6th, 2 Bed ...                        ",5.671641791
763,780,2110425616,56,1,Kolonaki (Kolonaki - Lykavittos), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,13.92857143
764,700,2110424126,110,3,Elinoroson (Athens)," 22/12/2020 - Athens, Ampelokipoi-Ellinoroson, Apartment For Rent, 110 sq.m., Property Status: Refurbished, Flo ...                        ",6.363636364
765,850,2110403853,70,1,Plaka (Athens)," 3/11/2020 - Athens, Plaka, Apartment For Rent, 70 sq.m., Property Status: Refurbished, Floor: Ground floor, 1 ...                        ",12.14285714
766,900,2110399485,65,2,Mets (Athens), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,13.84615385
767,900,2110399459,100,2,Pagkrati (Athens), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,9
768,740,2110393648,55,1,Kolonaki (Kolonaki - Lykavittos), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,13.45454545
769,600,2110293206,52,1,Koukaki - Makrygianni (Athens - Center), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,11.53846154
770,700,2110265248,75,2,Kinosargous (Athens)," 20/12/2020 - Corner and bright fully furnished apartment of 75 sq.m. in the area ""Neos Kosmos, Kynosargous"", o ...                        ",9.333333333
771,1250,219727356,115,2,Kolonaki - Lykavittos (Athens - Center), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,10.86956522
772,580,219771483,116,2,Stathmos Larisis (Kolonos - Kolokynthous)," 10/12/2020 - Athens, Stathmos Larisis, Apartment For Rent, 116 sq.m., Property Status: Good, Floor: 1rst, 2 Be ...                        ",5
773,780,2110549497,67,1,Kolonaki (Kolonaki - Lykavittos)," 15/12/2020 - Athens, Kolonaki, Apartment For Rent, 67 sq.m., Property Status: Very Good, Floor: 3rd, 1 Bedroom ...                        ",11.64179104
774,1700,2110509783,135,2,Kolonaki (Kolonaki - Lykavittos)," 20/12/2020 - KOLONAKI, maisonette 135 sq.m., furnished, 5th floor and 3 levels, with 2 bedrooms, built΄80, ren ...                        ",12.59259259
775,2950,2110185126,300,2,Kallimarmaro (Athens)," 17/9/2020 - For Rent Detached house, Athens, Kallimarmaro, 300 sq.m., 4 Levels, Ground floor Floor, 2 Bedroom ...                        ",9.833333333
776,600,2110032685,105,2,Ampelokipoi - Pentagon (Athens)," 5/12/2020 - Athens, Ampelokipoi, Apartment For Rent, 105 sq.m., Property Status: Good, Floor: 3rd, 2 Bedrooms ...                        ",5.714285714
777,1500,219948442,90,2,Ampelokipoi (Athens)," 28/10/2020 - Athens, Ampelokipoi-Center, Apartment For Rent, 90 sq.m., Property Status: Minimal Design, Floor: ...                        ",16.66666667
778,2300,219887913,147,3,Likavittos (Kolonaki - Lykavittos)," 2/7/2020 - For Rent Froor apartment, Athens, Lycabitos, 147 sq.m., 1 Levels, 4th Floor, 3 Bedrooms 2 Bathroo ...                        ",15.6462585
779,1500,219776558,150,3,Plaka (Athens)," 15/10/2020 - PLAKA, IN A BEAUTIFUL LOCATION, AMAZING APARTMENT / DETACHED HOUSE, 1st FLOOR 90 SQ.M. + ATTIC 60 ...                        ",10
780,1000,2110561456,175,5,Metaxourgeio (Athens)," 18/12/2020 - Athens, Metaxourgeio, Floor Apartment For Rent, 175 sq.m., Property Status: Good, Floor: 1rst, 5  ...                        ",5.714285714
781,1600,219160551,95,2,Pagkrati (Athens)," 18/12/2020 - Pagrati: Fully renovated and furnished floor apartment of 95 sqm, penthouse of 5th (last) floor w ...                        ",16.84210526
782,1230,2110456996,95,3,Pyrgos Athinon (Athens)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,230 € /month     6 to 12 month lease: 1 ...                        ",12.94736842
783,1070,2110359068,90,2,Likavittos (Kolonaki - Lykavittos)," 23/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,070 € /month     6 to 12 month lease: 1 ...                        ",11.88888889
784,1380,2110014467,95,3,Pyrgos Athinon (Athens)," 23/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,380 € /month     6 to 12 month lease: 1 ...                        ",14.52631579
785,830,219888410,69,1,Koukaki - Pediki Chara (Koukaki - Makrygianni)," 10/12/2020 - Athens, Koukaki, Apartment For Rent, 69 sq.m., Property Status: Very Good, Floor: 5th, 1 Bedrooms ...                        ",12.02898551
786,1500,2110095085,130,3,Ampelokipoi - Pentagon (Athens)," 5/12/2020 - Athens, Ampelokipoi, Apartment For Rent, 130 sq.m., Property Status: Very Good, Floor: 3rd, 3 Bed ...                        ",11.53846154
787,600,2110087749,77,2,Nosokomeio Pedon (Athens)," 19/12/2020 - very close to the Children's Hospital and the Medical Faculties, ideal for students and professio ...                        ",7.792207792
788,1000,2110567816,85,2,Kallimarmaro (Athens), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,11.76470588
789,750,2110562110,100,2,Exarcheia (Athens)," 18/12/2020 - Athens, Exarcheia, Apartment For Rent, 100 sq.m., Property Status: Amazing, Floor: 4th, 2 Bedroom ...                        ",7.5
790,640,2110495926,70,2,Pagkrati (Athens), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,9.142857143
791,750,2110444164,92,1,Exarcheia (Athens)," 4/12/2020 - Exarchia - Apartment 92sqm plot size 92sqm, bedrooms 1, 5th, construction status good, year built ...                        ",8.152173913
792,940,2110403841,100,2,Hilton (Athens), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,9.4
793,1500,2110356404,150,2,Erithros (Athens)," 22/10/2020 - Athens, Ampelokipoi-Erithros, Apartment For Rent, 150 sq.m., Property Status: Very Good, Floor: 2 ...                        ",10
794,650,2110297839,111,2,Koukaki - Pediki Chara (Koukaki - Makrygianni)," 22/12/2020 - Near Dimitrakopoulou and Aglaurou, 10 minutes from the metro station ''Syggrou-Fix'', airy, brigh ...                        ",5.855855856
795,1500,2110047086,120,2,Likavittos (Kolonaki - Lykavittos)," 23/12/2020 - Location: Athens, Lycabettus. Property Description: Available for lease, fully furnished and equi ...                        ",12.5
796,660,2110000896,75,2,A Nekrotfeio (Athens), 23/12/2020 - BOOK YOUR VIEWING DIRECTLY WITH THE LANDLORD. NO REAL ESTATE FEE. at www.homi.one/18478  Furnishe ...                        ,8.8
797,900,2110100050,98,2,Ampelokipoi - Pentagon (Athens)," 5/12/2020 - Athens, Ampelokipoi, Apartment For Rent, 98 sq.m., Property Status: Very Good, Floor: 8th, 2 Bedr ...                        ",9.183673469
798,750,219591121,127,2,Kipseli (Athens)," 23/12/2020 - Athens, Kypseli, Apartment For Rent, 127 sq.m., Floor: 4th, 1 Level(s), 2 Bedrooms 1 Kitchen(s),  ...                        ",5.905511811
799,600,2110414022,70,2,Exarcheia (Athens)," 5/12/2020 - Athens, Exarcheia, Apartment For Rent, 70 sq.m., Property Status: Very Good, Floor: 3rd, 2 Bedroo ...                        ",8.571428571
800,1000,219853308,110,2,Hilton (Athens)," 2/10/2020 - Athens, Ilisia-Hilton, Apartment For Rent, 110 sq.m., Property Status: Good, Floor: 3rd, 2 Bedroo ...                        ",9.090909091
801,50000,216132089,5500,1,Akadimia (Athens)," 8/12/2020 - Between Kolonaki and Exarchia, a separate high-profile property suitable for hotel, clinic, offic ...                        ",9.090909091
802,3500,2110463927,154,4,Kolonaki (Kolonaki - Lykavittos)," 28/11/2020 - Athens, Kolonaki, Floor Apartment For Rent, 154 sq.m., Property Status: Amazing, Floor: 7th, 4 Be ...                        ",22.72727273
803,1250,2110428726,70,2,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,250 € /month     6 to 12 month lease: 1 ...                        ",17.85714286
804,360,2110413403,56,1,Sepolia (Athens)," 2/12/2020 - Athens, Sepolia, Apartment For Rent, 56 sq.m., Property Status: Good, Floor: 2nd, 1 Bedrooms 1 Ki ...                        ",6.428571429
805,670,2110270142,67,2,Panormou (Athens)," 22/12/2020 - Near Larisis and Sevastopoulou, 10 minutes from the metro station ''Panormou'', airy, bright, in  ...                        ",10
806,1300,219912952,90,2,Hilton (Athens)," 23/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,300 € /month     6 to 12 month lease: 1 ...                        ",14.44444444
807,750,219709690,137,3,Pagkrati Center (Athens)," 21/12/2020 - Athens, Pagrati-Center, Penthouse For Rent, 137 sq.m., Property Status: Good, Floor: 5th, 3 Bedro ...                        ",5.474452555
808,2700,219566943,220,4,Kolonaki (Kolonaki - Lykavittos)," 20/11/2020 - Athens, Kolonaki, Apartment For Rent, 220 sq.m., Property Status: Amazing, Floor: 5th, 1 Level(s) ...                        ",12.27272727
809,540,2110566713,71,2,Koukaki - Pediki Chara (Koukaki - Makrygianni)," 24/12/2020 - Athens, Koukaki, Apartment 71 sq.m. on 3rd floor, in very good condition, is available for rent j ...                        ",7.605633803
810,430,2110561433,70,1,Kipseli (Athens)," 18/12/2020 - Athens, Kypseli, Apartment For Rent, 70 sq.m., Property Status: Good, Floor: 5th, 1 Bedrooms 1 Ki ...                        ",6.142857143
811,480,2110543413,60,1,Koukaki - Pediki Chara (Koukaki - Makrygianni)," 23/12/2020 - Athens, Koukaki, Apartment 60 sq.m. on 2nd floor, in excellent condition, is available for rent,  ...                        ",8
812,750,2110525949,105,2,Hilton (Athens)," 23/12/2020 - Athens, Ilisia-Hilton, Apartment For Rent, 105 sq.m., Property Status: Freshly painted, Floor: 3r ...                        ",7.142857143
813,5000,2110439998,281,3,Rigilis (Kolonaki - Lykavittos)," 8/12/2020 - Property Code: 706210 -  FOR RENT  3 Bedrooms,  Apartment of total surface 281 sq.m, on the 1 st  ...                        ",17.79359431
814,650,2110414676,76,2,Koukaki - Pediki Chara (Koukaki - Makrygianni)," 23/12/2020 - Athens, Koukaki, Apartment 76 sq.m.on 1st floor in very good condition is available for rent just ...                        ",8.552631579
815,490,2110408962,50,1,Gizi - Pedion Areos (Athens)," 6/12/2020 - Athens, Gyzi, Apartment For Rent, 50 sq.m., Property Status: Very Good, Floor: 4th, 1 Bedrooms 1  ...                        ",9.8
816,750,2110341330,115,4,Ag. Meletiou - Viktorias Sq. - Marni (Athens)," 8/12/2020 - Athens, Plateia Viktorias, Apartment For Rent, 115 sq.m., Property Status: Good, Floor: 2nd, 4 Be ...                        ",6.52173913
817,450,2110219219,48,1,Patision - Acharnon (Athens)," 10/12/2020 - Athens, Leof. Acharnon, Apartment For Rent, 48 sq.m., Property Status: Amazing, Floor: 4th, 1 Lev ...                        ",9.375
818,400,2110162812,98,3,Thimarakia (Athens)," 14/12/2020 - Facade apartment, airy, sunny, 4th floor (2nd penthouse), spacious, open to many functional and c ...                        ",4.081632653
819,550,219731803,80,2,Stathmos Larisis (Kolonos - Kolokynthous)," 22/12/2020 - Furnished (Fully),Bedrooms (2),Floor (5th),Construction Status (Fully Renovated),Year Built (1970 ...                        ",6.875
820,900,2110403722,148,3,Ampelokipoi - Pentagon (Athens)," 6/12/2020 - Athens, Ampelokipoi, Maisonette For Rent, 148 sq.m., Property Status: Very Good, Floor: 1rst, 2 L ...                        ",6.081081081
821,450,2110273583,65,0,Likavittos (Kolonaki - Lykavittos)," 8/12/2020 - Athens, Lycabettus, Apartment For Rent, 65 sq.m., Property Status: Good, Floor: Ground floor, 1 K ...                        ",6.923076923
822,1130,2110457002,95,3,Pyrgos Athinon (Athens), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,11.89473684
823,1020,2110359069,90,2,Likavittos (Kolonaki - Lykavittos), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,11.33333333
824,700,2110216852,72,2,Pagkrati (Athens)," 9/12/2020 - Athens, Pagrati, Apartment For Rent, 72 sq.m., Property Status: Very Good, Floor: 2nd, 2 Bedrooms ...                        ",9.722222222
825,1300,2110017787,95,3,Pyrgos Athinon (Athens), 23/12/2020 - Price quoted is applicable only if billed upfront for the entire duration of the contract.   This ...                        ,13.68421053
826,950,2110561458,165,5,Metaxourgeio (Athens)," 18/12/2020 - Athens, Metaxourgeio, Floor Apartment For Rent, 165 sq.m., Property Status: Good, Floor: Ground f ...                        ",5.757575758
827,800,2110502893,110,4,Exarcheia (Athens)," 20/12/2020 - For rent bright apartment, facade of 190 sq.m. in the area ""Exarchia - Neapoli, Exarchia"", on the ...                        ",7.272727273
828,2200,217345492,260,2,Pedion Areos (Athens)," 29/9/2020 - Athens, Pedion Areos, Penthouse For Sale, 260 sq.m., Property Status: Refurbished, Floor: 5th, 1  ...                        ",8.461538462
829,500,2110543602,96,2,Ag. Meletiou - Viktorias Sq. - Marni (Athens)," 20/12/2020 - ATHENS Museum, Apartment 96sqm. 4th Floor, 2 bedrooms, constructed in `64, renovated in `10. It c ...                        ",5.208333333
830,800,2110468536,135,3,Ag. Meletiou - Viktorias Sq. - Marni (Athens)," 4/12/2020 - Athens, Plateia Viktorias, Apartment For Rent, 135 sq.m., Property Status: Very Good, Floor: 4th, ...                        ",5.925925926
831,600,2110219026,115,3,Ag. Meletiou - Viktorias Sq. - Marni (Athens)," 9/12/2020 - Athens, Plateia Viktorias, Floor Apartment For Rent, 115 sq.m., Property Status: Good, Floor: 3rd ...                        ",5.217391304
832,950,2110121154,110,2,Ampelokipoi - Pentagon (Athens)," 5/12/2020 - Athens, Ampelokipoi, Apartment For Rent, 110 sq.m., Property Status: Very Good, Floor: 5th, 2 Bed ...                        ",8.636363636
833,900,2110047414,110,2,Varnava (Athens)," 23/12/2020 - Large bright, sunny, clean two-bedroom fully furnished and equipped apartment for rent overlookin ...                        ",8.181818182
834,1250,219355044,110,2,Hilton (Athens)," 10/12/2020 - Athens, Ilisia-Hilton, Apartment For Rent, 110 sq.m., Property Status: Good, Floor: 3rd, 2 Bedroo ...                        ",11.36363636
835,730,2110571309,65,2,Gkyzi - Arios Pagos (Athens)," 21/12/2020 - Athens, Gyzi-Arios Pagos, Apartment For Rent, 65 sq.m., Property Status: Amazing, Floor: 2nd, 2 B ...                        ",11.23076923
836,600,2110551125,55,1,Thiseio (Athens)," 16/12/2020 - Fully furnished 55sqm apartment, 1st floor, 3rd floor, excellent condition, construction 1990, re ...                        ",10.90909091
837,1000,2110431627,105,3,Pagkrati (Athens)," 11/12/2020 - Athens, Pagrati, Apartment For Rent, 105 sq.m., Property Status: Amazing, Floor: 5th, 2 Level(s), ...                        ",9.523809524
838,1000,2110297860,120,2,Neapoli Exarcheion (Athens)," 19/10/2020 - Athens, Neapolis Exarcheion, Apartment For Rent, 120 sq.m., Property Status: Refurbished, Floor:  ...                        ",8.333333333
839,700,2110296071,76,1,Ampelokipoi - Pentagon (Athens)," 8/12/2020 - Athens, Ampelokipoi, Apartment For Rent, 76 sq.m., Property Status: Good, Floor: 5th, 1 Bedrooms  ...                        ",9.210526316
840,20000,219863407,384,5,Plaka (Athens)," 8/10/2020 - For Rent Detached house, Athens, Plaka, 384 sq.m., In plot 140 sq.m., 4 Levels, Ground floor Floo ...                        ",52.08333333
841,600,219781244,55,1,Historic Center (Athens)," 9/10/2020 - Fully furnished 55sqm apartment, 1st floor, 3rd floor, excellent condition, construction 1990, re ...                        ",10.90909091
842,1100,219206328,65,1,Psirri (Athens)," 3/11/2020 - Athens, Psirri, Apartment For Rent, 65 sq.m., Property Status: Refurbished, Floor: 5th, 1 Bedroom ...                        ",16.92307692
843,1050,217853315,50,1,Kolonaki (Kolonaki - Lykavittos)," 14/12/2020 - Athens, Kolonaki, Apartment For Rent, 50 sq.m., Property Status: Amazing, Floor: 4th, 1 Level(s), ...                        ",21
844,1670,2110124780,100,2,Kolonaki (Kolonaki - Lykavittos)," 23/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,670 € /month     6 to 12 month lease: 1 ...                        ",16.7
845,700,219606942,65,1,Likavittos (Kolonaki - Lykavittos)," 23/12/2020 - Copy the link below to your browser to see 360° photos, 2D/3D floor plans and to book a visit onl ...                        ",10.76923077
846,2800,219384371,294,3,Kolonaki (Kolonaki - Lykavittos)," 8/12/2020 - Property Code: 15259 -  FOR RENT renovated 3 Bedrooms, Side to side Apartment of total surface 29 ...                        ",9.523809524
847,850,219872091,110,2,Plateia Mavili (Athens)," 30/6/2020 - For Rent Apartment, Athens, Plateia Mavili, 110 sq.m., 1 Levels, 4th Floor, 2 Bedrooms 1 Bathroom ...                        ",7.727272727
848,2300,2110549995,142,3,Makrigianni (Koukaki - Makrygianni)," 24/12/2020 - Maisonette for rent in Makrigianni, Koukaki - Makrigianni of Athens - Center for 2.300€ (Listing  ...                        ",16.1971831
849,750,2110528893,83,2,Platia Attikis (Athens)," 17/12/2020 - Athens, Plateia Attikis, Apartment For Rent, 83 sq.m., Property Status: Very Good, Floor: 5th, 1  ...                        ",9.036144578
850,850,2110496818,90,2,Ilisia (Athens)," 10/12/2020 - For Rent Apartment, Athens, Ilisia, 90 sq.m., 2nd Floor, 2 Bedrooms, 1 Bathrooms, Dours: Aluminum ...                        ",9.444444444
851,650,218959400,82,1,Kipseli (Athens)," 10/12/2020 - Athens, Kypseli, Apartment For Rent, 82 sq.m., Property Status: Amazing, Floor: 2nd, 1 Level(s),  ...                        ",7.926829268
852,6500,215422988,360,3,Historic Center (Athens)," 16/12/2020 - THISIO house of 360 sqm, semi-basement - ground floor, building 1917, 2.3 storey neoclassical lis ...                        ",18.05555556
853,1090,2110291845,100,2,Pagkrati (Athens), 22/12/2020 - The above price is valid only in the event of prepayment. Multiple payment options also available ...                        ,10.9
854,1000,219899625,108,2,Pagkrati Center (Athens)," 21/12/2020 - Pagrati, penthouse apartment of 108 sq.m., on the 6th floor, constructed in 1970, renovated in 20 ...                        ",9.259259259
855,400,2110580919,74,2,Kipseli (Athens)," 24/12/2020 - KIPSELI, Agia Zoni, a 74sqm apartment, completely renovated in year 2020, on the 1st floor of a b ...                        ",5.405405405
856,400,2110557284,60,1,Ag. Meletiou - Viktorias Sq. - Marni (Athens)," 17/12/2020 - Athens, Plateia Viktorias, Apartment For Rent, 60 sq.m., Property Status: Very Good, Floor: 3rd,  ...                        ",6.666666667
857,600,2110551123,56,1,Thiseio (Athens)," 16/12/2020 - HISTORICAL CENTER, Thiseio - Apartment 56sqm fully furnished, bedroom 1, 2nd, excellent condition ...                        ",10.71428571
858,550,2110541263,100,2,Ampelokipoi - Pentagon (Athens)," 13/12/2020 - For Rent Apartment, Athens, Ampelokipoi, 100 sq.m., 1 Levels, 4th Floor, 2 Bedrooms, 1 Bathrooms, ...                        ",5.5
859,675,2110525761,82,2,Kerameikos (Athens)," 23/12/2020 - Athens, Kerameikos, Apartment For Rent, 82 sq.m., Property Status: Refurbished, Floor: 1rst, 1 Le ...                        ",8.231707317
860,680,2110496843,98,2,Ampelokipoi - Pentagon (Athens)," 10/12/2020 - For Rent Apartment, Athens, Ampelokipoi, 98 sq.m., 5th Floor, 2 Bedrooms, 1 Bathrooms, 1 WC, 1 Κi ...                        ",6.93877551
861,750,2110424074,80,2,Ampelokipoi - Pentagon (Athens)," 23/12/2020 - Athens, Ampelokipoi, Apartment For Rent, 80 sq.m., Property Status: Amazing, Floor: 1rst, 1 Level ...                        ",9.375
862,800,2110408421,97,2,Ampelokipoi - Pentagon (Athens)," 6/12/2020 - Athens, Ampelokipoi, Apartment For Rent, 97 sq.m., Property Status: Very Good, Floor: 5th, 2 Bedr ...                        ",8.24742268
863,400,2110088518,70,2,Pagkrati (Athens)," 10/12/2020 - Athens, Pagrati, Apartment For Rent, 70 sq.m., Property Status: Good, Floor: Ground floor, 2 Bedr ...                        ",5.714285714
864,750,219764062,80,2,Kentro (Athens), 30/11/2020 - Apartment of 80 sq. m. is situated at Athens downtown near-by the National Archaeological Museum  ...                        ,9.375
865,950,219758663,80,2,Kentro (Athens), 30/11/2020 - Apartment of 80 sq. m. is situated at Athens downtown near-by the National Archaeological Museum  ...                        ,11.875
866,1700,219748537,92,2,Plaka (Athens)," 15/12/2020 - Athens, Plaka, Apartment For Rent, 92 sq.m., Property Status: Amazing, Floor: 3rd, 2 Bedrooms (2  ...                        ",18.47826087
867,950,219733718,80,0,Kentro (Athens), 30/11/2020 - Apartment of 80 sq. m. is situated at Athens downtown near-by the National Archaeological Museum  ...                        ,11.875
868,1100,219703713,80,1,Kolonaki (Kolonaki - Lykavittos)," 15/12/2020 - Athens, Kolonaki, Apartment For Rent, 80 sq.m., Property Status: Amazing, Floor: 1rst, 1 Level(s) ...                        ",13.75
869,3600,219433802,103,2,Kolonaki (Kolonaki - Lykavittos)," 22/10/2020 - ATHENS Kolonaki, apartment of 103sq.m, 1st floor, 2 bedrooms (1 master), constructed in 2013 in e ...                        ",34.95145631
870,1100,219167508,100,1,Kolonaki (Kolonaki - Lykavittos)," 16/12/2020 - KOLONAKI - Apartment 100sqm, bedroom 1, 6th (100sqm), penthouse, very good condition, built in 19 ...                        ",11
871,3600,218010648,103,2,Kolonaki (Kolonaki - Lykavittos)," 16/12/2020 - KOLONAKI - Apartment 103sqm, fully and luxuriously furnished, 1st floor, excellent condition, con ...                        ",34.95145631
872,1800,217906505,135,2,Kolonaki (Kolonaki - Lykavittos)," 25/1/2020 - Property Code: 32721 -  FOR RENT renovated 2 Bedrooms, Undefined Apartment of total surface 135 s ...                        ",13.33333333
873,1160,217472994,75,2,Historic Center (Athens)," 15/12/2020 - Historic Center, Diovounioti str., 75sq.m. newly built, furnished apartment on the 1st. floor. Th ...                        ",15.46666667
874,4500,216842652,180,3,Kolonaki (Kolonaki - Lykavittos)," 19/2/2020 - ID. 917 Athens, Kolonaki || For Rent ||2 levels apartment 180 sq.m., 4th floor, 2 levels, constru ...                        ",25
875,750,2110335701,83,2,Attiki (Athens)," 23/11/2020 - Attica - Apartment 83sqm bedrooms 2, 4th, construction status very good, year built 2006, living  ...                        ",9.036144578
876,700,2110296987,76,1,Ampelokipoi (Athens)," 22/12/2020 - Near Akarnanias and Aitolias, 5 minutes from the metro station, ''Ampelokipoi'',  airy, bright, t ...                        ",9.210526316
877,540,2110058328,47,1,Ano Patisia (Athens)," 17/12/2020 - For Rent Apartment, Athens, Ano Patisia, 47 sq.m., 2nd Floor, 1 Bedrooms, 1 Bathrooms,  Floors: T ...                        ",11.4893617
878,1100,219942096,100,2,Akropoli (Athens)," 21/12/2020 - Acropolis, apartment of 100 sq.m., on the 4th floor, constructed in 1986, in very good condition. ...                        ",11
879,1600,219830686,115,2,Kolonaki (Kolonaki - Lykavittos)," 27/10/2020 - For Rent Apartment, Athens, Kolonaki, 115 sq.m., 1 Levels, 2nd Floor, 2 Bedrooms 1 Bathrooms, 1 W ...                        ",13.91304348
